0,1,2,3,4,5,6,7,8,9,10,11,Distr,12,13,14
,0.0,16.441720484474974,2.0,7.0,19.0,10.0,0.0,9.0,4950000.0,1.0,0.0,NW,33.0,1.0,151724886.0
0.0,0.0,15.418589095803915,1.0,6.0,20.0,3.0,0.0,5.0,5000000.0,1.0,0.0,NW,32.0,1.0,148791312.0
,0.0,16.449413786366456,4.0,7.0,21.0,4.0,0.0,9.0,5150000.0,1.0,1.0,NW,32.0,1.0,152054666.0
,0.0,16.171918615430116,1.0,7.0,18.7,4.0,0.0,9.0,5190000.0,1.0,1.0,NW,33.0,1.0,151629840.0
,0.0,16.36160706297983,9.0,6.0,14.0,4.0,0.0,9.0,5200000.0,1.0,,NW,30.0,1.0,152194618.0
1.0,0.0,15.227370466193598,10.0,6.0,15.8,12.0,0.0,12.0,5400000.0,1.0,,NW,29.5,1.0,151801396.0
,0.0,15.641445604791404,1.0,6.0,29.0,7.0,0.0,5.0,5800000.0,2.0,,NW,45.0,1.0,152087174.0
1.0,0.0,16.240367811714844,5.0,5.5,30.9,10.0,0.0,5.0,5990000.0,2.0,1.0,NW,45.8,1.0,149875859.0
1.0,,15.849386807289374,1.0,7.0,17.0,6.0,0.0,12.0,6000000.0,1.0,,NW,32.0,1.0,150204297.0
1.0,0.0,15.424633838044091,4.0,6.0,30.0,10.0,0.0,5.0,6000000.0,2.0,1.0,NW,45.0,1.0,151452231.0
0.0,0.0,15.15514769503685,7.0,6.0,19.0,4.0,0.0,9.0,6149900.0,1.0,1.0,NW,33.0,1.0,149173019.0
1.0,0.0,16.806799803191563,10.0,10.0,28.0,20.0,0.0,12.0,5900000.0,1.0,0.0,NW,41.0,1.0,151390737.0
1.0,0.0,16.750306776036613,3.0,10.0,20.0,10.0,0.0,12.0,6299999.0,1.0,1.0,NW,36.0,1.0,150229762.0
1.0,0.0,16.97629884586592,4.0,10.0,18.0,10.0,0.0,12.0,6500000.0,1.0,0.0,NW,36.0,0.0,148830607.0
1.0,0.0,16.548553169812706,3.0,8.6,24.9,2.0,0.0,12.0,6600000.0,1.0,1.0,NW,42.9,1.0,151132295.0
1.0,0.0,16.36606998472539,10.0,10.0,18.0,8.0,0.0,16.0,6750000.0,1.0,,NW,35.0,1.0,151552285.0
,0.0,16.441720484474974,7.0,7.0,31.0,18.0,0.0,9.0,7000000.0,2.0,1.0,NW,45.0,1.0,151321954.0
,0.0,15.863930430104304,4.0,6.0,28.0,12.0,0.0,9.0,7230000.0,2.0,,NW,44.0,1.0,152134356.0
1.0,0.0,16.241986803335198,22.0,9.0,20.0,10.0,0.0,22.0,7300000.0,1.0,1.0,NW,38.0,1.0,151888286.0
1.0,0.0,16.59463689581343,5.0,6.7,30.0,3.0,0.0,9.0,7350000.0,2.0,,NW,45.7,1.0,151588977.0
,0.0,16.482716432977796,1.0,5.5,38.2,11.0,0.0,5.0,7400000.0,3.0,0.0,NW,55.7,1.0,151930279.0
,0.0,15.89999100286256,2.0,6.0,30.0,7.0,0.0,9.0,7450000.0,2.0,1.0,NW,47.0,1.0,149268562.0
,0.0,17.190084993620218,1.0,9.0,30.5,24.0,0.0,12.0,7500000.0,2.0,1.0,NW,52.0,1.0,150979984.0
1.0,0.0,16.359730007189807,1.0,6.0,44.0,7.0,0.0,9.0,7590000.0,3.0,1.0,NW,59.0,1.0,43801733.0
1.0,1.0,16.75239055425779,2.0,9.0,20.0,15.0,0.0,22.0,7600000.0,1.0,,NW,40.0,1.0,145988322.0
1.0,0.0,16.806516315418573,3.0,9.8,20.0,24.0,0.0,12.0,5350000.0,1.0,1.0,NW,35.0,1.0,152169689.0
1.0,1.0,14.027462551255619,2.0,15.0,70.0,16.0,0.0,23.0,21000000.0,3.0,0.0,NW,94.0,1.0,149826358.0
1.0,0.0,14.86553961744759,7.0,11.0,46.0,10.0,0.0,16.0,14500000.0,3.0,1.0,NW,76.0,1.0,151155557.0
,,14.822562410527166,7.0,6.0,18.9,9.0,0.0,9.0,6300000.0,1.0,,NW,32.6,1.0,151635084.0
1.0,0.0,15.449196170150422,8.0,7.0,18.0,15.0,0.0,12.0,5790000.0,1.0,1.0,NW,33.0,1.0,151620823.0
,0.0,14.620780704444842,1.0,9.0,21.0,5.0,0.0,12.0,5800000.0,1.0,1.0,NW,39.0,1.0,151124236.0
,0.0,15.118199874339584,1.0,8.0,18.9,10.0,0.0,16.0,6100000.0,1.0,1.0,NW,37.4,1.0,152068835.0
0.0,0.0,14.822562410527166,4.0,6.0,19.0,9.0,0.0,9.0,6150000.0,1.0,0.0,NW,33.0,1.0,151844738.0
,0.0,14.914603080547561,1.0,8.0,19.0,10.0,0.0,16.0,6200000.0,1.0,1.0,NW,38.0,1.0,151935327.0
,0.0,14.711680264064169,8.0,7.0,19.0,14.0,0.0,9.0,6500000.0,1.0,1.0,NW,33.0,1.0,152049183.0
,0.0,15.22186830563344,1.0,8.9,21.0,15.0,0.0,12.0,6650000.0,1.0,1.0,NW,39.5,1.0,151116629.0
1.0,0.0,13.92807623944151,9.0,8.5,18.9,10.0,0.0,16.0,6700000.0,1.0,1.0,NW,37.7,1.0,151636331.0
1.0,,14.887296362200036,4.0,7.0,18.0,9.0,0.0,12.0,6750000.0,1.0,0.0,NW,35.0,0.0,151156005.0
1.0,0.0,14.878894769907376,5.0,10.0,19.0,18.0,0.0,16.0,6900000.0,1.0,0.0,NW,35.0,1.0,150970323.0
1.0,,14.489675548650828,13.0,8.5,19.1,10.0,0.0,16.0,7000000.0,1.0,,NW,37.6,1.0,150576717.0
1.0,0.0,14.89466854234736,14.0,12.0,20.0,10.0,0.0,19.0,7500000.0,1.0,,NW,40.0,1.0,151995370.0
2.0,0.0,13.47147867359376,9.0,9.0,20.0,10.0,0.0,14.0,7500000.0,1.0,,NW,39.0,1.0,150278485.0
1.0,0.0,14.185345331281672,3.0,9.0,21.0,10.0,0.0,12.0,7500000.0,1.0,1.0,NW,40.0,1.0,149227962.0
1.0,0.0,13.564324228343633,11.0,8.0,20.0,16.0,0.0,14.0,7550000.0,1.0,0.0,NW,40.0,1.0,151849847.0
1.0,0.0,14.606576765757909,9.0,6.0,34.0,8.0,0.0,9.0,7600000.0,3.0,1.0,NW,51.0,0.0,151898589.0
2.0,0.0,13.564324228343633,11.0,10.0,20.0,10.0,0.0,14.0,7600000.0,1.0,1.0,NW,40.0,1.0,151463168.0
1.0,0.0,13.564324228343633,11.0,8.5,20.8,12.0,0.0,14.0,7700000.0,1.0,1.0,NW,38.7,1.0,152163474.0
1.0,0.0,14.89466854234736,9.0,11.5,19.0,12.0,0.0,19.0,7700000.0,1.0,1.0,NW,40.0,1.0,151004227.0
1.0,0.0,13.989457935112526,6.0,10.0,20.0,5.0,0.0,22.0,7780000.0,1.0,1.0,NW,40.0,1.0,150874983.0
1.0,0.0,15.360296537840538,5.0,6.0,30.0,10.0,0.0,9.0,7800000.0,3.0,1.0,NW,54.0,1.0,150295538.0
1.0,0.0,14.250718942265689,12.0,7.0,30.0,10.0,0.0,12.0,8000000.0,2.0,1.0,NW,47.0,1.0,149452353.0
1.0,0.0,14.45692509865489,2.0,6.5,36.0,3.0,0.0,9.0,8100000.0,3.0,1.0,NW,52.0,1.0,149951336.0
1.0,0.0,15.087569987471705,8.0,7.0,30.3,10.0,0.0,12.0,8399000.0,2.0,1.0,NW,46.0,1.0,150169690.0
0.0,0.0,14.5809133980051,7.0,6.0,28.0,7.0,0.0,9.0,8499000.0,2.0,0.0,NW,44.4,1.0,150926372.0
1.0,0.0,14.82540081101899,8.0,10.5,44.0,2.0,0.0,22.0,19000000.0,3.0,1.0,NW,83.0,1.0,150048517.0
,0.0,14.537976456499742,2.0,6.0,20.0,2.0,0.0,9.0,6000000.0,1.0,1.0,NW,32.0,1.0,151847446.0
,1.0,13.859210495646016,29.0,,132.0,8.0,0.0,29.0,61000000.0,4.0,,NW,165.7,1.0,149670321.0
,0.0,15.314996253652986,2.0,8.0,45.0,12.0,0.0,12.0,9500000.0,3.0,,NW,64.0,1.0,149158741.0
0.0,1.0,13.400779194148035,7.0,15.8,67.7,22.0,0.0,34.0,37500000.0,3.0,0.0,NW,143.5,1.0,137186407.0
1.0,1.0,14.172708488831114,10.0,13.0,59.0,15.0,1.0,23.0,22619484.0,3.0,,NW,97.0,1.0,151415522.0
,0.0,14.652949316081195,1.0,8.5,51.7,1.0,0.0,12.0,13300000.0,4.0,,NW,75.3,1.0,151507877.0
1.0,1.0,14.172708488831114,11.0,12.0,21.0,10.0,0.0,25.0,11500000.0,1.0,1.0,NW,45.0,1.0,152216778.0
1.0,1.0,14.172708488831114,8.0,10.0,19.0,15.0,1.0,23.0,9972847.0,1.0,,NW,38.0,1.0,151415521.0
1.0,1.0,14.172708488831114,11.0,11.0,20.0,10.0,0.0,25.0,9500000.0,1.0,1.0,NW,40.0,1.0,152216744.0
1.0,1.0,13.400779194148035,7.0,,,10.0,0.0,35.0,25499000.0,2.0,0.0,NW,75.0,1.0,152146440.0
1.0,1.0,14.172708488831114,12.0,13.0,33.0,15.0,1.0,23.0,15773033.0,2.0,,NW,60.0,1.0,151415512.0
1.0,1.0,15.041287080970154,13.0,10.0,18.0,18.0,0.0,25.0,9100000.0,1.0,,NW,39.0,1.0,151522649.0
1.0,0.0,14.758961097734606,9.0,6.0,46.5,6.0,0.0,9.0,10000000.0,4.0,1.0,NW,63.0,1.0,150639642.0
,1.0,13.400779194148035,7.0,10.0,32.0,15.0,0.0,34.0,25500000.0,2.0,,NW,74.0,1.0,151521201.0
1.0,1.0,10.835153085164196,5.0,25.0,85.0,10.0,0.0,34.0,38900000.0,4.0,,NW,137.0,0.0,151521566.0
